Method,Model,FN (avg),FP (avg),FN (R0),FP (R0),FN (R1),FP (R1),FN (R2),FP (R2),FN (R3),FP (R3),FN (R4),FP (R4)
FastTreeGTR,CAT/1000M1,0.0546546546546546,0.05266827973952076,0.0455455455455455,0.0450676014021031,0.051051051051051,0.0481927710843373,0.0545545545545545,0.0526579739217652,0.0485485485485485,0.0466399197592778,0.0735735735735735,0.0707831325301204
FastTreeJC,CAT/1000M1,0.06426426426426421,0.06229873298021692,0.053053053053053,0.0525788683024536,0.056056056056056,0.0532128514056224,0.063063063063063,0.0611835506519558,0.0615615615615615,0.059679037111334,0.0875875875875875,0.0848393574297188
NeighborJoinGM,CAT/1000M1,0.4621621621621621,0.4610351508903053,0.4499499499499499,0.4496745117676515,0.4594594594594595,0.4578313253012048,0.4544544544544545,0.4533600802407221,0.4684684684684684,0.4674022066198596,0.4784784784784784,0.4769076305220883
NeighborJoinHam,CAT/1000M1,0.4621621621621621,0.4610351508903053,0.4499499499499499,0.4496745117676515,0.4594594594594595,0.4578313253012048,0.4544544544544545,0.4533600802407221,0.4684684684684684,0.4674022066198596,0.4784784784784784,0.4769076305220883
NeighborJoinJC,CAT/1000M1,0.4621621621621621,0.4610351508903053,0.4499499499499499,0.4496745117676515,0.4594594594594595,0.4578313253012048,0.4544544544544545,0.4533600802407221,0.4684684684684684,0.4674022066198596,0.4784784784784784,0.4769076305220883
FastTreeGTR,CAT/1000M4,0.037037037037037,0.02285699760504046,0.0425425425425425,0.0294266869609335,0.0285285285285285,0.0182094081942336,0.038038038038038,0.0213849287169042,0.0415415415415415,0.0249490835030549,0.0345345345345345,0.0203148806500761
FastTreeJC,CAT/1000M4,0.0403403403403403,0.02620856350379346,0.046046046046046,0.0329781836631151,0.0325325325325325,0.0222559433485078,0.041041041041041,0.0244399185336048,0.0455455455455455,0.0290224032586558,0.0365365365365365,0.0223463687150838
NeighborJoinGM,CAT/1000M4,0.27807807807807805,0.2673898430415751,0.3013013013013013,0.2917300862506342,0.2827827827827828,0.2751643904906424,0.2107107107107107,0.1970468431771894,0.2632632632632632,0.2505091649694501,0.3323323323323323,0.3224987303199593
NeighborJoinHam,CAT/1000M4,0.27807807807807805,0.2673898430415751,0.3013013013013013,0.2917300862506342,0.2827827827827828,0.2751643904906424,0.2107107107107107,0.1970468431771894,0.2632632632632632,0.2505091649694501,0.3323323323323323,0.3224987303199593
NeighborJoinJC,CAT/1000M4,0.27807807807807805,0.2673898430415751,0.3013013013013013,0.2917300862506342,0.2827827827827828,0.2751643904906424,0.2107107107107107,0.1970468431771894,0.2632632632632632,0.2505091649694501,0.3323323323323323,0.3224987303199593
